137,002635.SZ,安洁科技
138,002649.SZ,博彦科技
139,002681.SZ,奋达科技
140,002682.SZ,龙洲股份
141,002685.SZ,华东重机
142,002714.SZ,牧原股份
143,002726.SZ,龙大肉食
144,002741.SZ,光华科技
145,002751.SZ,易尚展示
146,002752.SZ,昇兴股份
147,002756.SZ,永兴材料
148,002765.SZ,蓝黛传动
149,002770.SZ,科迪乳业
150,002776.SZ,柏堡龙
151,002777.SZ,久远银海
152,002787.SZ,华源控股
153,002792.SZ,通宇通讯
154,002803.SZ,吉宏股份
155,002806.SZ,华锋股份
156,002807.SZ,江阴银行
157,002808.SZ,恒久科技
158,002811.SZ,亚泰国际
159,002825.SZ,纳尔股份
160,002848.SZ,高斯贝尔
161,002851.SZ,麦格米特
162,002882.SZ,金龙羽
163,002884.SZ,凌霄泵业
164,002885.SZ,京泉华
165,002890.SZ,弘宇股份
166,002897.SZ,意华股份
167,002901.SZ,大博医疗
168,002913.SZ,奥士康
169,002938.SZ,鹏鼎控股
170,002947.SZ,恒铭达
171,002956.SZ,西麦食品
172,300012.SZ,华测检测
173,300035.SZ,中科电气
174,300052.SZ,中青宝
175,300053.SZ,欧比特
176,300065.SZ,海兰信
177,300066.SZ,三川智慧
178,300075.SZ,数字政通
179,300088.SZ,长信科技
180,300098.SZ,高新兴
181,300107.SZ,建新股份
182,300114.SZ,中航电测
183,300136.SZ,信维通信
184,300139.SZ,晓程科技
185,300141.SZ,和顺电气
186,300180.SZ,华峰超纤
187,300184.SZ,力源信息
188,300185.SZ,通裕重工
189,300189.SZ,神农科技
190,300195.SZ,长荣股份
191,300197.SZ,铁汉生态
192,300200.SZ,高盟新材
193,300205.SZ,天喻信息
194,300207.SZ,欣旺达
195,300212.SZ,易华录
196,300213.SZ,佳讯飞鸿
197,300219.SZ,鸿利智汇
198,300230.SZ,永利股份
199,300231.SZ,银信科技
200,300235.SZ,方直科技
201,300241.SZ,瑞丰光电
202,300249.SZ,依米康
203,300260.SZ,新莱应材
204,300280.SZ,紫天科技
205,300290.SZ,荣科科技
206,300295.SZ,三六五网
207,300305.SZ,裕兴股份
208,300308.SZ,中际旭创
209,300315.SZ,掌趣科技
210,300327.SZ,中颖电子
211,300330.SZ,华虹计通
212,300342.SZ,天银机电
213,300365.SZ,恒华科技
214,300378.SZ,鼎捷软件
215,300380.SZ,安硕信息
216,300394.SZ,天孚通信
217,300400.SZ,劲拓股份
218,300402.SZ,宝色股份
219,300403.SZ,汉宇集团
220,300416.SZ,苏试试验
221,300424.SZ,航新科技
222,300425.SZ,中建环能
223,300438.SZ,鹏辉能源
224,300450.SZ,先导智能
225,300457.SZ,赢合科技
226,300474.SZ,景嘉微
227,300476.SZ,胜宏科技
228,300487.SZ,蓝晓科技
229,300494.SZ,盛天网络
230,300498.SZ,温氏股份
231,300501.SZ,海顺新材
232,300514.SZ,友讯达
233,300517.SZ,海波重科
234,300522.SZ,世名科技
235,300526.SZ,中潜股份
236,300532.SZ,今天国际
237,300535.SZ,达威股份
238,300541.SZ,先进数通
239,300546.SZ,雄帝科技
240,300552.SZ,万集科技
241,300558.SZ,贝达药业
242,300561.SZ,汇金科技
243,300564.SZ,N筑博
244,300571.SZ,平治信息
245,300580.SZ,贝斯特
246,300581.SZ,晨曦航空
247,300589.SZ,江龙船艇
248,300590.SZ,移为通信
249,300594.SZ,朗进科技
250,300596.SZ,利安隆
251,300607.SZ,拓斯达
252,300615.SZ,欣天科技
253,300619.SZ,金银河
254,300626.SZ,华瑞股份
255,300647.SZ,超频三
256,300650.SZ,太龙照明
257,300654.SZ,世纪天鸿
258,300656.SZ,民德电子
259,300669.SZ,沪宁股份
260,300678.SZ,中科信息
261,300701.SZ,森霸传感
262,300706.SZ,阿石创
263,300712.SZ,永福股份
264,300726.SZ,宏达电子
265,300727.SZ,润禾材料
266,300731.SZ,科创新源
267,300738.SZ,奥飞数据
268,300742.SZ,越博动力
269,300749.SZ,顶固集创
270,300750.SZ,宁德时代
271,300752.SZ,隆利科技
272,300773.SZ,拉卡拉
273,300795.SZ,米奥兰特
274,300799.SZ,左江科技
275,600060.SH,海信电器
276,600066.SH,宇通客车
277,600077.SH,宋都股份
278,600082.SH,海泰发展
279,600097.SH,开创国际
280,600107.SH,美尔雅
281,600122.SH,宏图高科
282,600125.SH,铁龙物流
283,600162.SH,香江控股
284,600169.SH,太原重工
285,600184.SH,光电股份
286,600186.SH,*ST莲花
287,600191.SH,华资实业
288,600203.SH,福日电子
289,600209.SH,ST罗顿
290,600221.SH,海航控股
